Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Peru,8.8,8.4,6.7,11.9,15.0,99.8,1.0
Finland,8.8,3.4,3.8,29.8,26.2,55.8,1.8
Panama,8.8,10.9,8.1,9.2,12.3,75.2,1.3
Sweden,8.4,2.8,3.3,36.0,30.2,59.8,1.7
Jordan,8.0,5.9,6.4,16.9,15.5,86.7,1.2
Portugal,7.7,6.1,6.7,16.4,14.9,55.4,1.8
Mozambique,7.5,7.6,2.9,13.2,34.2,160.7,0.6
Philippines,7.5,9.2,10.0,10.8,10.0,116.6,0.9
Norway,7.5,4.2,4.4,23.9,23.0,55.9,1.8
Cyprus,7.3,4.0,3.9,25.0,25.5,62.0,1.6
Sri Lanka,7.2,11.8,9.2,8.5,10.9,79.9,1.3
Ethiopia,7.2,15.6,12.7,6.4,7.9,83.3,1.2
Australia,6.9,5.0,5.1,19.9,19.6,65.5,1.5
Austria,6.8,4.2,4.4,23.8,22.9,53.2,1.9
Switzerland,6.8,3.6,4.0,28.2,25.0,43.7,2.3
United Kingdom,6.8,5.0,5.6,20.1,17.8,51.9,1.9
Guatemala,6.6,10.4,8.9,9.7,11.2,71.3,1.4
Bolivia,6.6,7.5,6.6,13.3,15.2,85.0,1.2
Kenya,6.6,5.8,5.2,17.1,19.1,118.3,0.8
Denmark,6.5,4.0,4.8,24.9,20.7,43.4,2.3
Netherlands,6.2,5.4,5.7,18.5,17.5,47.7,2.1
Belgium,6.0,5.0,5.1,19.9,19.8,47.0,2.1
Malta,5.9,3.1,5.2,32.6,19.2,41.9,2.4
Ireland,5.9,5.1,6.5,19.6,15.3,48.7,2.1
New Zealand,5.7,5.7,5.3,17.6,19.0,50.3,2.0
Turkey,5.6,6.9,7.9,14.5,12.7,72.4,1.4
Qatar,5.6,4.5,9.5,22.3,10.6,48.1,2.1
Netherlands Antilles,5.6,8.6,7.5,11.6,13.3,51.7,1.9
Dominican Republic,5.4,10.7,12.4,9.3,8.1,89.0,1.1
Luxembourg,5.4,3.9,5.3,25.4,18.9,33.3,3.0
Germany,5.2,4.2,4.9,23.6,20.5,38.4,2.6
Namibia,5.2,6.8,13.3,14.7,7.5,65.0,1.5
Mexico,5.2,7.0,7.0,14.2,14.3,70.8,1.4
Canada,5.1,5.6,6.1,17.9,16.3,38.6,2.6
Jamaica,5.1,15.8,19.6,6.3,5.1,67.7,1.5
United Arab Emirates,4.9,8.5,10.2,11.7,9.8,53.8,1.9
Fiji,4.8,15.5,16.8,6.5,5.9,48.0,2.1
Puerto Rico,4.7,6.4,9.2,15.7,10.9,39.7,2.5
Malaysia,4.6,6.4,4.9,15.7,20.4,36.3,2.8
Iceland,4.2,9.0,7.4,11.2,13.5,63.8,1.6
Bahrain,4.0,15.3,14.2,6.5,7.1,40.0,2.5
Nicaragua,3.8,10.9,13.3,9.2,7.5,43.4,2.3
Saudi Arabia,3.5,5.8,6.1,17.1,16.3,32.2,3.1
South Africa,3.2,9.5,9.3,10.6,10.8,34.8,2.9
United States,2.9,10.0,11.8,10.0,8.5,22.8,4.4
