Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Italy,10.6,2.8,3.8,35.3,26.4,71.9,1.4
Austria,10.4,3.5,3.7,28.9,26.8,63.9,1.6
Chile,10.0,4.6,5.1,21.6,19.4,79.2,1.3
Slovenia,9.6,3.8,3.9,26.0,25.4,69.5,1.4
Slovakia,9.6,6.0,5.9,16.7,17.0,60.7,1.6
United Kingdom,9.5,4.4,4.4,22.7,22.8,66.6,1.5
Bolivia,9.5,5.8,6.7,17.3,15.0,87.0,1.1
Malaysia,9.4,4.0,4.3,24.9,23.4,71.9,1.4
Malta,9.3,5.3,5.7,18.8,17.6,64.3,1.6
Switzerland,9.3,3.0,3.2,33.0,31.7,54.6,1.8
Bulgaria,9.2,5.5,5.9,18.2,17.0,80.3,1.2
Namibia,9.1,8.9,9.3,11.2,10.7,107.2,0.9
Portugal,8.9,5.6,6.0,17.8,16.7,62.9,1.6
Luxembourg,8.9,4.2,4.1,23.7,24.2,53.8,1.9
Spain,8.7,4.3,5.0,23.5,20.1,56.0,1.8
Jordan,8.6,6.1,6.9,16.4,14.5,84.5,1.2
Turkey,8.3,5.5,6.5,18.2,15.5,113.8,0.9
Costa Rica,8.3,6.8,6.6,14.7,15.1,106.0,0.9
Finland,8.0,3.7,4.5,27.2,22.1,47.6,2.1
Greece,7.9,4.1,4.2,24.2,24.1,57.7,1.7
Ireland,7.7,5.2,5.9,19.3,16.9,56.1,1.8
Norway,7.7,4.3,4.7,23.1,21.3,50.2,2.0
Australia,7.5,5.0,4.9,19.9,20.6,58.5,1.7
Germany,7.2,3.8,4.1,26.1,24.4,45.6,2.2
Belgium,7.1,5.7,5.9,17.6,17.0,45.8,2.2
Iraq,6.9,8.3,9.3,12.0,10.7,84.8,1.2
New Zealand,6.8,5.4,6.0,18.5,16.5,54.4,1.8
Mexico,6.6,7.2,6.7,13.8,15.0,82.9,1.2
Canada,6.5,5.4,6.0,18.4,16.7,42.9,2.3
Netherlands,6.5,5.7,6.2,17.4,16.2,43.9,2.3
Cyprus,6.4,5.1,5.4,19.7,18.6,51.2,2.0
Denmark,6.3,4.5,4.9,22.1,20.6,41.5,2.4
Palestine,6.0,7.2,7.4,13.9,13.6,51.1,2.0
Iceland,5.7,8.5,9.3,11.8,10.8,54.0,1.9
Qatar,5.7,10.0,8.9,10.0,11.2,42.6,2.3
United Arab Emirates,5.5,10.0,11.1,10.0,9.0,41.1,2.4
Puerto Rico,5.1,8.0,6.4,12.5,15.6,40.0,2.5
United States,3.4,11.1,12.4,9.0,8.0,24.6,4.1
South Africa,3.3,10.2,10.7,9.8,9.3,38.0,2.6
Saudi Arabia,2.7,7.1,8.1,14.0,12.4,20.1,5.0
