Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Malaysia,9.6,3.7,4.2,26.7,23.9,73.4,1.4
Austria,9.6,3.6,3.9,27.8,25.9,58.7,1.7
Greece,9.5,4.0,4.3,25.0,23.0,70.7,1.4
United Kingdom,9.3,3.9,4.6,25.8,21.7,63.3,1.6
Estonia,9.2,4.2,4.4,24.1,22.6,58.1,1.7
Romania,9.1,4.8,4.8,20.8,20.7,62.5,1.6
Turkey,8.9,5.2,6.1,19.2,16.3,123.6,0.8
Norway,8.7,3.6,4.1,27.5,24.4,55.5,1.8
Iraq,8.6,6.5,7.5,15.3,13.4,119.8,0.8
Bulgaria,8.6,5.4,5.7,18.4,17.5,67.0,1.5
Slovenia,8.4,4.2,4.1,24.1,24.4,59.0,1.7
New Zealand,8.2,4.8,4.9,20.7,20.3,64.3,1.6
Germany,8.0,3.6,3.9,28.0,25.6,48.3,2.1
Spain,8.0,4.7,5.6,21.4,18.0,49.8,2.0
Costa Rica,7.9,7.3,7.5,13.7,13.3,91.3,1.1
Mexico,7.8,6.5,6.2,15.4,16.2,97.3,1.0
Ireland,7.6,6.2,7.5,16.2,13.4,54.8,1.8
Finland,7.5,3.7,4.6,26.7,21.9,43.3,2.3
Australia,7.4,5.0,5.2,20.1,19.4,56.1,1.8
Jordan,7.3,7.3,8.2,13.8,12.2,70.3,1.4
Denmark,7.2,4.2,4.8,23.9,20.9,44.7,2.2
Belgium,7.1,4.9,4.9,20.3,20.3,44.9,2.2
Iceland,6.9,6.7,7.5,14.9,13.3,60.0,1.7
Netherlands,6.7,5.3,6.2,18.8,16.3,43.1,2.3
Canada,6.1,5.4,6.0,18.7,16.6,40.4,2.5
Palestine,5.4,6.2,6.6,16.2,15.1,50.1,2.0
Cyprus,5.3,5.5,5.7,18.3,17.6,39.2,2.6
United Arab Emirates,4.9,10.3,10.6,9.7,9.4,35.9,2.8
South Africa,3.5,10.2,10.3,9.8,9.7,41.8,2.4
United States,3.3,10.8,11.8,9.3,8.5,24.1,4.1
Saudi Arabia,2.8,7.8,8.3,12.8,12.0,19.9,5.0
