Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Cyprus,8.0,5.9,6.2,17.0,16.2,55.7,1.8
Finland,7.9,3.5,4.4,28.6,22.7,45.5,2.2
Canada,7.9,4.2,5.2,23.7,19.1,55.5,1.8
Australia,7.7,4.5,4.6,22.2,21.9,57.6,1.7
Netherlands,7.5,5.2,5.7,19.2,17.6,47.6,2.1
Denmark,7.5,4.1,4.3,24.3,23.5,45.6,2.2
Ireland,7.1,6.6,7.7,15.1,13.0,50.3,2.0
Belgium,6.9,5.0,5.1,19.9,19.5,41.8,2.4
Iceland,6.4,6.5,7.1,15.3,14.1,56.4,1.8
Qatar,5.8,7.9,8.0,12.7,12.5,45.9,2.2
United Arab Emirates,5.4,9.1,9.8,11.0,10.2,39.9,2.5
South Africa,3.8,10.4,11.6,9.6,8.6,45.5,2.2
United States,3.5,10.5,11.3,9.6,8.9,26.5,3.8
Saudi Arabia,2.8,7.0,7.8,14.2,12.9,20.5,4.9
