Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Malaysia,8.4,4.6,4.2,21.7,23.6,64.8,1.5
Portugal,8.3,5.7,6.4,17.6,15.6,61.9,1.6
Luxembourg,8.3,5.3,4.8,19.0,20.8,50.4,2.0
Bahrain,7.9,9.3,10.8,10.7,9.2,69.4,1.4
Norway,7.7,4.6,4.9,21.6,20.5,54.7,1.8
Cyprus,7.4,4.3,4.3,23.4,23.4,64.0,1.6
Switzerland,7.3,3.5,3.6,28.8,28.1,44.0,2.3
Malta,7.2,4.7,5.2,21.1,19.4,49.8,2.0
Australia,7.1,5.0,5.4,19.9,18.5,59.3,1.7
Finland,7.0,3.9,5.0,25.9,20.0,43.5,2.3
Turkey,6.7,5.9,7.1,16.9,14.1,86.8,1.2
Germany,6.6,4.0,4.5,24.9,22.4,44.3,2.3
Qatar,6.6,8.8,7.5,11.4,13.4,51.7,1.9
Belgium,6.5,5.4,6.0,18.4,16.7,45.9,2.2
Mexico,6.3,7.4,6.2,13.5,16.2,77.3,1.3
Netherlands,6.2,5.6,5.6,17.8,17.8,46.1,2.2
United Arab Emirates,6.2,8.8,9.7,11.4,10.3,49.9,2.0
Kuwait,6.1,7.4,6.2,13.5,16.2,54.7,1.8
Ireland,6.1,5.8,6.4,17.3,15.6,45.0,2.2
New Zealand,5.8,6.0,7.0,16.6,14.3,49.1,2.0
Costa Rica,5.7,10.2,9.3,9.8,10.7,84.3,1.2
Iceland,5.6,8.1,8.1,12.4,12.4,52.7,1.9
Canada,5.5,5.9,6.4,17.1,15.6,37.9,2.6
Namibia,5.4,9.3,30.2,10.8,3.3,64.0,1.6
Libya,5.1,15.1,13.2,6.6,7.6,51.0,2.0
Denmark,5.0,5.7,5.7,17.4,17.5,34.3,2.9
Mozambique,4.9,19.9,24.6,5.0,4.1,102.3,1.0
Puerto Rico,4.5,5.7,6.3,17.4,16.0,36.0,2.8
Jamaica,4.3,13.4,9.2,7.5,10.8,55.2,1.8
Bahamas,3.9,7.3,8.5,13.7,11.8,39.4,2.5
Belize,3.7,4.0,3.5,25.0,28.9,38.9,2.6
Honduras,3.5,7.1,11.5,14.1,8.7,49.0,2.0
Oman,3.2,11.4,12.6,8.8,7.9,30.3,3.3
South Africa,3.1,10.2,9.4,9.8,10.6,33.6,3.0
Saudi Arabia,3.1,7.2,6.9,13.9,14.6,23.5,4.2
United States,2.6,11.2,12.9,9.0,7.7,19.4,5.1
Tanzania,1.8,80.3,27.8,1.2,3.6,27.9,3.6
